,country_code,longitude,latitude,average_cost_for_two,has_table_booking,has_online_delivery,is_delivering_now,switch_to_order_menu,price_range,aggregate_rating,rating_text,votes,cuisine_rate
0,162,121.02753500000001,14.565443,1100,1,0,0,0,3,4.8,5,314,139
1,162,121.014101,14.553707999999999,1200,1,0,0,0,3,4.5,5,591,123
2,162,121.056831,14.581404000000001,4000,1,0,0,0,4,4.4,4,270,131
3,162,121.056475,14.585318,1500,0,0,0,0,4,4.9,5,365,123
4,162,121.05750800000001,14.58445,1500,1,0,0,0,4,4.8,5,229,123
5,162,121.05631399999999,14.583764000000002,1000,0,0,0,0,3,4.4,4,336,146
6,162,120.97966670000001,14.53133333,2000,1,0,0,0,4,4.0,4,520,131
7,162,120.9793333,14.54,2000,1,0,0,0,4,4.2,4,677,131
8,162,120.98008999999999,14.55299,6000,1,0,0,0,4,4.9,5,621,131
9,162,121.056532,14.572041,1100,1,0,0,0,3,4.8,5,532,71
10,162,121.05791599999999,14.567689000000001,800,0,0,0,0,3,4.9,5,1070,128
11,162,121.06081999999999,14.570848999999999,900,1,0,0,0,3,4.2,4,488,139
12,162,121.075419,14.649503,800,0,0,0,0,3,4.8,5,294,0
13,162,121.03359170000002,14.59345,1000,1,0,0,0,3,4.2,4,458,0
14,162,121.03811,14.598889999999999,700,0,0,0,0,3,4.3,4,223,94
15,162,121.05703999999999,14.237082000000001,800,0,0,0,0,3,3.6,3,29,143
16,162,121.05658740000001,14.23767897,850,0,0,0,0,3,4.0,4,72,143
17,162,120.95158899999998,14.101834,1200,1,0,0,0,3,4.5,5,211,1
18,162,121.045878,14.55436,600,0,0,0,0,2,4.5,5,118,140
19,162,121.04621999999999,14.549337,1500,1,0,0,0,4,4.4,4,392,143
20,162,121.053725,14.545857999999999,3000,1,0,0,0,4,4.7,5,535,136
21,162,121.0534998,14.54565535,1800,1,0,0,0,4,4.5,5,618,143
22,30,-47.88178889,-15.76414167,55,0,0,0,0,2,3.0,2,6,145
23,30,-47.88266667,-15.7775,30,0,0,0,0,1,3.8,3,9,140
24,30,-47.88213611,-15.75747222,45,0,0,0,0,2,3.7,3,11,142
25,30,-47.88816667,-15.75883333,60,0,0,0,0,3,3.8,3,11,104
26,30,-47.91566667,-15.83116667,50,0,0,0,0,2,3.2,2,11,135
27,30,-47.91566667,-15.831,80,0,0,0,0,3,3.1,2,10,1
28,30,-47.9075,-15.82,90,0,0,0,0,3,3.7,3,8,105
29,30,-47.91016667,-15.82733333,200,0,0,0,0,4,3.7,3,5,0
30,30,-47.89016667,-15.797,30,0,0,0,0,1,0.0,0,2,140
31,30,-47.92366667,-15.83133333,150,0,0,0,0,4,4.1,4,12,143
32,30,-48.019,-15.83716667,100,0,0,0,0,4,3.1,2,9,1
33,30,-48.01909167,-15.839775,60,0,0,0,0,3,3.6,3,9,110
34,30,-48.01666667,-15.83483333,100,0,0,0,0,4,4.3,4,29,128
35,30,-47.888999999999996,-15.7865,230,0,0,0,0,4,4.2,4,17,93
36,30,-47.872359,-15.860620999999998,100,0,0,0,0,4,3.6,3,5,75
37,30,-47.95628333,-15.83451389,150,0,0,0,0,4,4.0,4,10,136
38,30,-47.87283333,-15.82566667,240,0,0,0,0,4,3.2,2,6,126
39,30,-47.8685,-15.819,230,0,0,0,0,4,4.9,5,30,1
40,30,-47.885812,-15.720118,350,0,0,0,0,4,3.3,2,8,0
41,30,-47.92102778,-15.79753056,50,0,0,0,0,2,3.6,3,9,136
42,30,-43.376999999999995,-23.0115,140,0,0,0,0,4,4.0,4,7,126
43,30,-43.178826,-22.905293,100,0,0,0,0,4,4.8,5,29,140
44,30,-43.18669167,-22.97207222,60,0,0,0,0,3,4.7,5,24,125
45,30,-43.17583333,-22.96216667,90,0,0,0,0,3,4.5,5,29,145
46,30,-43.176,-22.96516667,170,0,0,0,0,4,4.2,4,11,116
47,30,-43.191,-22.98683333,60,0,0,0,0,3,4.8,5,19,133
48,30,-43.227042,-22.973507,100,0,0,0,0,4,4.9,5,40,110
49,30,-43.211425,-22.98520833,90,0,0,0,0,3,4.6,5,21,135
50,30,-43.203,-22.98533333,120,0,0,0,0,4,4.9,5,49,0
51,30,-43.20520833,-22.98531944,170,0,0,0,0,4,4.6,5,21,1
52,30,-43.219563,-22.966647000000002,90,0,0,0,0,3,4.3,4,14,0
53,30,-43.34879167,-22.99991111,150,0,0,0,0,4,4.0,4,5,1
54,30,-43.227,-22.98416667,250,0,0,0,0,4,4.6,5,25,0
55,30,-43.22566667,-22.98516667,120,0,0,0,0,4,4.4,4,13,142
56,30,-43.17279167,-22.963925,40,0,0,0,0,2,4.2,4,7,1
57,30,-43.17126389,-22.96337222,250,0,0,0,0,4,4.2,4,8,126
58,30,-43.341164,-22.870413,70,0,0,0,0,3,0.0,0,1,1
59,30,-43.18736944,-22.92481389,300,0,0,0,0,4,4.7,5,44,1
60,30,-43.21551111,-22.91370833,85,0,0,0,0,3,4.6,5,24,1
61,30,-43.16266667,-22.94783333,80,0,0,0,0,3,4.3,4,10,1
62,30,-46.64516667,-23.55066667,250,0,0,0,0,4,4.5,5,49,0
63,30,-46.64633333,-23.559,250,0,0,0,0,4,4.4,4,17,115
64,30,-46.65866667,-23.55616667,70,0,0,0,0,3,3.1,2,5,117
65,30,-46.657523,-23.55671,100,0,0,0,0,4,4.1,4,15,0
66,30,-46.666851,-23.581688,300,0,0,0,0,4,4.8,5,59,130
67,30,-46.67511,-23.582135,120,0,0,0,0,4,4.6,5,30,130
68,30,-46.683888,-23.585324,75,0,0,0,0,3,3.9,3,5,104
69,30,-46.67566667,-23.581,55,0,0,0,0,2,0.0,0,0,1
70,30,-46.666041,-23.561567999999998,200,0,0,0,0,4,3.4,2,73,108
71,30,-46.657418,-23.571638,120,0,0,0,0,4,3.5,3,9,123
72,30,-46.66983333,-23.5655,300,0,0,0,0,4,4.3,4,39,109
73,30,-46.67133333,-23.59233333,230,0,0,0,0,4,3.9,3,12,118
74,30,-46.68133333,-23.56483333,120,0,0,0,0,4,4.3,4,68,133
75,30,-46.64159444,-23.54664167,150,0,0,0,0,4,4.3,4,46,143
76,30,-46.643425,-23.545163,400,0,0,0,0,4,4.4,4,37,1
77,30,-46.63716667,-23.5995,65,0,0,0,0,3,0.0,0,2,104
78,30,-46.698574,-23.622925,50,0,0,0,0,2,0.0,0,2,0
79,30,-46.581672,-23.486535,100,0,0,0,0,4,4.4,4,22,104
80,30,-46.63566667,-23.58516667,70,0,0,0,0,3,4.6,5,58,130
81,30,-46.746958,-23.609207,120,0,0,0,0,4,4.1,4,11,116
82,216,-84.221535,31.610387,25,0,0,0,0,2,3.3,2,35,133
83,216,-84.207095,31.608743,10,0,0,0,0,1,3.3,2,25,136
84,216,-84.154,31.5772,0,0,0,0,0,1,3.4,2,34,64
85,216,-84.2194,31.6158,0,0,0,0,0,1,3.4,2,45,128
86,216,-84.206944,31.622412,10,0,0,0,0,1,3.4,2,26,114
87,216,-84.1759,31.5882,0,0,0,0,0,1,3.4,2,36,0
88,216,-84.2193,31.616,10,0,0,0,0,1,3.5,3,67,145
89,216,-84.2091458,31.615518599999998,10,0,0,0,0,1,3.9,3,141,146
90,216,-84.205718,31.604905,25,0,0,0,0,2,3.7,3,147,135
91,216,-84.22327800000001,31.612121000000002,70,0,0,0,0,4,3.5,3,51,115
