,Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points,Age,Market_Value,PCS_1,PCS_2,Player_Id,bonus_GW1,bonus_GW2,bonus_GW3,bonus_GW4,bonus_GW5,bonus_GW6,bonus_GW7,bonus_GW8,bonus_GW9,bps_GW1,bps_GW2,bps_GW3,bps_GW4,bps_GW5,bps_GW6,bps_GW7,bps_GW8,bps_GW9,clean_sheets_GW1,clean_sheets_GW2,clean_sheets_GW3,clean_sheets_GW4,clean_sheets_GW5,clean_sheets_GW6,clean_sheets_GW7,clean_sheets_GW8,clean_sheets_GW9,goals_scored_GW1,goals_scored_GW2,goals_scored_GW3,goals_scored_GW4,goals_scored_GW5,goals_scored_GW6,goals_scored_GW7,goals_scored_GW8,goals_scored_GW9,ict_index_GW1,ict_index_GW2,ict_index_GW3,ict_index_GW4,ict_index_GW5,ict_index_GW6,ict_index_GW7,ict_index_GW8,ict_index_GW9,saves_GW1,saves_GW2,saves_GW3,saves_GW4,saves_GW5,saves_GW6,saves_GW7,saves_GW8,saves_GW9,selected_GW1,selected_GW2,selected_GW3,selected_GW4,selected_GW5,selected_GW6,selected_GW7,selected_GW8,selected_GW9,total_points_GW1,total_points_GW2,total_points_GW3,total_points_GW4,total_points_GW5,total_points_GW6,total_points_GW7,total_points_GW8,total_points_GW9,transfers_balance_GW1,transfers_balance_GW2,transfers_balance_GW3,transfers_balance_GW4,transfers_balance_GW5,transfers_balance_GW6,transfers_balance_GW7,transfers_balance_GW8,transfers_balance_GW9,transfers_in_GW1,transfers_in_GW2,transfers_in_GW3,transfers_in_GW4,transfers_in_GW5,transfers_in_GW6,transfers_in_GW7,transfers_in_GW8,transfers_in_GW9,transfers_out_GW1,transfers_out_GW2,transfers_out_GW3,transfers_out_GW4,transfers_out_GW5,transfers_out_GW6,transfers_out_GW7,transfers_out_GW8,transfers_out_GW9,value_GW1,value_GW2,value_GW3,value_GW4,value_GW5,value_GW6,value_GW7,value_GW8,value_GW9
0,Adam Smith,BOU,DEF,45,345.5,455.0,144.0,94.5,38,1,3,0,0,0,0,6,0,0.3,2067,3,56,27,4.5,0.26039977610940507,0.3259597422933991,29,25,18.0,4.0,9.0,19.0,11.0,17.0,25.0,16.0,25,18.0,4.0,9.0,19.0,11.0,17.0,25.0,16.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.2,2.7,1.3,0.8,5.9,2.5,3.4,1.9,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21187,35599.0,40754.0,34980.0,34355.0,45164.0,44899.0,43936.0,50025.0,6,2.0,-2.0,2.0,7.0,1.0,2.0,6.0,6.0,0,4869.0,2416.0,-5970.0,-1406.0,9086.0,-257.0,-1111.0,4671.0,0,7338.0,7324.0,667.0,1863.0,11828.0,2177.0,1196.0,7107.0,0,2469.0,4908.0,6637.0,3269.0,2742.0,2434.0,2307.0,2436.0,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
1,Adrian,WHU,GKP,45,0.0,470.4,0.0,47.0,29,0,0,0,0,0,69,2,0,0.6,1710,5,72,31,4.5,0.03416116828228178,3.274723983932229,399,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26929,27616.0,25848.0,24636.0,23555.0,22890.0,22347.0,21829.0,21398.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1799.0,-2232.0,-1618.0,-1422.0,-859.0,-661.0,-594.0,-587.0,0,214.0,130.0,117.0,141.0,107.0,102.0,111.0,109.0,0,2013.0,2362.0,1735.0,1563.0,966.0,763.0,705.0,696.0,45,45.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0
2,Aguero,MCI,FWD,110,570.8,966.4,1484.0,302.5,12,21,6,0,0,0,0,2,0,12.6,1960,22,169,30,72.0,5.246196295269066,-2.40389434009798,280,4,82.0,3.0,23.0,24.0,36.0,30.0,-1.0,22.0,4,82.0,3.0,23.0,24.0,36.0,30.0,-1.0,22.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7.7,23.4,8.2,11.3,10.1,17.2,12.5,0.1,14.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1452447,1695641.0,2483867.0,2723468.0,2946225.0,2867222.0,3007762.0,2851683.0,2979793.0,2,20.0,2.0,6.0,7.0,6.0,8.0,1.0,6.0,0,82669.0,638895.0,189610.0,159182.0,-77024.0,103315.0,-137534.0,83046.0,0,137757.0,665008.0,230423.0,197030.0,100622.0,128044.0,74405.0,154603.0,0,55088.0,26113.0,40813.0,37848.0,177646.0,24729.0,211939.0,71557.0,110,110.0,112.0,113.0,114.0,114.0,114.0,114.0,113.0
3,Ake,BOU,DEF,50,115.1,932.4,287.0,133.5,59,2,3,0,0,0,0,5,0,5.7,3352,8,102,23,13.5,1.5967379821106533,0.7089592318561946,31,33,5.0,23.0,7.0,14.0,15.0,12.0,30.0,27.0,33,5.0,23.0,7.0,14.0,15.0,12.0,30.0,27.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1.0,6.5,2.5,1.1,7.5,2.8,4.9,4.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158251,219921.0,218380.0,251310.0,259268.0,261250.0,251952.0,244338.0,254537.0,8,2.0,8.0,1.0,1.0,0.0,2.0,6.0,6.0,0,16305.0,-9980.0,17334.0,816.0,-926.0,-10806.0,-8229.0,6081.0,0,26339.0,11266.0,30701.0,17245.0,9942.0,4567.0,2344.0,12930.0,0,10034.0,21246.0,13367.0,16429.0,10868.0,15373.0,10573.0,6849.0,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
4,Albrighton,LEI,MID,55,718.3,580.0,300.0,160.2,42,2,8,0,0,0,0,5,1,1.1,2533,12,107,28,9.0,1.726723313509929,0.25762289965977236,224,0,8.0,13.0,11.0,22.0,4.0,3.0,2.0,0.0,0,8.0,13.0,11.0,22.0,4.0,3.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3,3.0,3.8,5.2,2.7,0.4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58166,46145.0,39074.0,36322.0,34247.0,36113.0,33217.0,31525.0,29407.0,0,1.0,4.0,2.0,6.0,1.0,1.0,1.0,0.0,0,-12969.0,-7773.0,-3366.0,-2477.0,1236.0,-2786.0,-1811.0,-2217.0,0,387.0,495.0,812.0,1118.0,3803.0,761.0,573.0,513.0,0,13356.0,8268.0,4178.0,3595.0,2567.0,3547.0,2384.0,2730.0,55,54.0,54.0,53.0,53.0,53.0,53.0,53.0,52.0
5,Alderweireld,TOT,DEF,60,67.8,249.2,50.0,36.8,13,0,0,0,0,0,0,3,0,3.6,1177,3,43,29,36.0,-0.8718453904842699,-0.10811644538918373,353,0,16.0,34.0,15.0,16.0,16.0,26.0,25.0,27.0,0,16.0,34.0,15.0,16.0,16.0,26.0,25.0,27.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.8,3.8,3.0,3.5,2.8,2.0,2.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159975,151472.0,143063.0,149821.0,145591.0,145048.0,147463.0,156360.0,159506.0,0,2.0,6.0,1.0,1.0,2.0,6.0,5.0,7.0,0,-25582.0,-13742.0,523.0,-7508.0,-2948.0,284.0,6798.0,2100.0,0,2153.0,1698.0,7629.0,2331.0,2851.0,4826.0,9657.0,7047.0,0,27735.0,15440.0,7106.0,9839.0,5799.0,4542.0,2859.0,4947.0,60,60.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
6,Alexander-Arnold,LIV,DEF,50,399.2,358.2,142.0,90.1,17,1,2,0,0,0,0,3,0,16.8,1573,10,83,20,22.5,0.3331095107338556,-0.16296233603220717,245,22,25.0,24.0,12.0,21.0,30.0,13.0,0.0,0.0,22,25.0,24.0,12.0,21.0,30.0,13.0,0.0,0.0,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,3.7,6.6,1.2,2.2,5.0,5.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787168,858617.0,908111.0,932919.0,873976.0,956808.0,1142685.0,1192821.0,1239222.0,5,5.0,5.0,2.0,6.0,11.0,2.0,0.0,0.0,0,12318.0,29331.0,12728.0,-62483.0,64832.0,172870.0,49718.0,32373.0,0,54988.0,96022.0,66257.0,30536.0,91597.0,192231.0,76944.0,87647.0,0,42670.0,66691.0,53529.0,93019.0,26765.0,19361.0,27226.0,55274.0,50,50.0,50.0,50.0,50.0,50.0,51.0,51.0,52.0
7,Alisson,LIV,GKP,55,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,26,54.0,-1.7041157719259885,-0.3800545638988259,468,31,24.0,25.0,15.0,14.0,22.0,15.0,27.0,21.0,31,24.0,25.0,15.0,14.0,22.0,15.0,27.0,21.0,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.6,2.0,1.9,1.6,1.2,2.5,2.3,1.3,2,2.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,629624,735029.0,864902.0,1022258.0,1041515.0,1071394.0,1065686.0,1065712.0,1133790.0,7,6.0,6.0,3.0,2.0,6.0,3.0,6.0,6.0,0,-59.0,64025.0,91960.0,-8604.0,8203.0,-12165.0,-7980.0,45842.0,0,27174.0,100697.0,121377.0,47269.0,36786.0,18061.0,17685.0,63540.0,0,27233.0,36672.0,29417.0,55873.0,28583.0,30226.0,25665.0,17698.0,55,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0
8,Alli,TOT,MID,90,878.5,775.2,934.0,258.8,28,9,13,0,0,0,0,7,0,3.6,2957,12,175,22,90.0,2.962677447709812,-0.8846551168357666,365,34,18.0,9.0,8.0,0.0,3.0,0.0,0.0,0.0,34,18.0,9.0,8.0,0.0,3.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.4,8.0,4.1,0.0,0.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175864,381319.0,392509.0,398636.0,286881.0,222599.0,219883.0,182472.0,160236.0,9,5.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0,126809.0,334.0,-6932.0,-113584.0,-68109.0,-7025.0,-36626.0,-23112.0,0,145612.0,57563.0,37811.0,13364.0,738.0,14963.0,464.0,370.0,0,18803.0,57229.0,44743.0,126948.0,68847.0,21988.0,37090.0,23482.0,90,91.0,91.0,91.0,91.0,90.0,90.0,90.0,90.0
9,Alonso,CHE,DEF,65,549.6,697.8,822.0,207.1,30,7,2,0,0,0,0,6,0,16.9,2855,15,165,27,36.0,2.6539579890465683,-0.5587754389171705,115,32,47.0,31.0,29.0,16.0,26.0,13.0,20.0,10.0,32,47.0,31.0,29.0,16.0,26.0,13.0,20.0,10.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,13.4,3.6,9.8,5.6,2.8,3.2,5.5,3.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727837,950830.0,1530646.0,1938564.0,2354495.0,2511720.0,2558150.0,2629895.0,2646049.0,11,13.0,11.0,9.0,2.0,6.0,2.0,6.0,1.0,0,57991.0,448028.0,331715.0,338834.0,135335.0,41220.0,38489.0,3320.0,0,84800.0,470266.0,345172.0,350248.0,157420.0,80406.0,64831.0,52681.0,0,26809.0,22238.0,13457.0,11414.0,22085.0,39186.0,26342.0,49361.0,65,65.0,66.0,67.0,68.0,69.0,69.0,69.0,70.0
