,Name,Player_Id,assists_GW1,assists_GW2,assists_GW3,assists_GW4,assists_GW5,assists_GW6,assists_GW7,assists_GW8,assists_GW9,bonus_GW1,bonus_GW2,bonus_GW3,bonus_GW4,bonus_GW5,bonus_GW6,bonus_GW7,bonus_GW8,bonus_GW9,bps_GW1,bps_GW2,bps_GW3,bps_GW4,bps_GW5,bps_GW6,bps_GW7,bps_GW8,bps_GW9,clean_sheets_GW1,clean_sheets_GW2,clean_sheets_GW3,clean_sheets_GW4,clean_sheets_GW5,clean_sheets_GW6,clean_sheets_GW7,clean_sheets_GW8,clean_sheets_GW9,goals_scored_GW1,goals_scored_GW2,goals_scored_GW3,goals_scored_GW4,goals_scored_GW5,goals_scored_GW6,goals_scored_GW7,goals_scored_GW8,goals_scored_GW9,ict_index_GW1,ict_index_GW2,ict_index_GW3,ict_index_GW4,ict_index_GW5,ict_index_GW6,ict_index_GW7,ict_index_GW8,ict_index_GW9,saves_GW1,saves_GW2,saves_GW3,saves_GW4,saves_GW5,saves_GW6,saves_GW7,saves_GW8,saves_GW9,selected_GW1,selected_GW2,selected_GW3,selected_GW4,selected_GW5,selected_GW6,selected_GW7,selected_GW8,selected_GW9,total_points_GW1,total_points_GW2,total_points_GW3,total_points_GW4,total_points_GW5,total_points_GW6,total_points_GW7,total_points_GW8,total_points_GW9,transfers_balance_GW1,transfers_balance_GW2,transfers_balance_GW3,transfers_balance_GW4,transfers_balance_GW5,transfers_balance_GW6,transfers_balance_GW7,transfers_balance_GW8,transfers_balance_GW9,transfers_in_GW1,transfers_in_GW2,transfers_in_GW3,transfers_in_GW4,transfers_in_GW5,transfers_in_GW6,transfers_in_GW7,transfers_in_GW8,transfers_in_GW9,transfers_out_GW1,transfers_out_GW2,transfers_out_GW3,transfers_out_GW4,transfers_out_GW5,transfers_out_GW6,transfers_out_GW7,transfers_out_GW8,transfers_out_GW9,value_GW1,value_GW2,value_GW3,value_GW4,value_GW5,value_GW6,value_GW7,value_GW8,value_GW9
0,Cech,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,26.0,17.0,8.0,13.0,36.0,6.0,0.0,0.0,24,26.0,17.0,8.0,13.0,36.0,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,5.3,2.8,0.2,1.4,4.3,1.7,0.0,0.0,6,8.0,4.0,1.0,1.0,6.0,1.0,0.0,0.0,70767,90038.0,107301.0,123566.0,123310.0,124787.0,138891.0,107912.0,92724.0,3,3.0,3.0,1.0,2.0,11.0,1.0,0.0,0.0,0,188.0,8540.0,9582.0,-3297.0,-797.0,9392.0,-28910.0,-16395.0,0,6059.0,19550.0,19332.0,8837.0,6593.0,13595.0,924.0,336.0,0,5871.0,11010.0,9750.0,12134.0,7390.0,4203.0,29834.0,16731.0,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1,Leno,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,13.0,0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.2,1.6,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,110646,107349.0,92305.0,82858.0,77555.0,74131.0,70906.0,85008.0,90965.0,0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0,-14370.0,-17771.0,-11562.0,-7085.0,-4376.0,-3790.0,11531.0,4917.0,0,1857.0,1103.0,500.0,754.0,353.0,180.0,13379.0,8112.0,0,16227.0,18874.0,12062.0,7839.0,4729.0,3970.0,1848.0,3195.0,50,50.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0
2,Koscielny,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6155,6682.0,6226.0,6016.0,5961.0,5935.0,5909.0,5869.0,5882.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1179.0,-900.0,-508.0,-340.0,-155.0,-139.0,-94.0,-97.0,0,120.0,74.0,56.0,64.0,42.0,32.0,32.0,39.0,0,1299.0,974.0,564.0,404.0,197.0,171.0,126.0,136.0,55,55.0,55.0,55.0,55.0,54.0,54.0,54.0,54.0
3,Bellerin,4,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,17,16.0,25.0,5.0,12.0,28.0,28.0,25.0,27.0,17,16.0,25.0,5.0,12.0,28.0,28.0,25.0,27.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,3.8,5.7,1.9,3.4,4.8,2.4,7.4,7.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727046,708875.0,654173.0,671467.0,609539.0,581867.0,583056.0,593737.0,615756.0,1,1.0,5.0,0.0,2.0,6.0,8.0,5.0,7.0,0,-62938.0,-69594.0,798.0,-65120.0,-32044.0,-3952.0,6898.0,15322.0,0,12676.0,35884.0,43942.0,16982.0,10657.0,17381.0,20408.0,35891.0,0,75614.0,105478.0,43144.0,82102.0,42701.0,21333.0,13510.0,20569.0,55,55.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0
4,Monreal,5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,14.0,27.0,9.0,12.0,20.0,22.0,20.0,0.0,0,14.0,27.0,9.0,12.0,20.0,22.0,20.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,11.4,5.5,2.6,5.4,4.2,4.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44811,36147.0,46967.0,105115.0,106453.0,110773.0,129735.0,137768.0,152737.0,0,1.0,10.0,0.0,2.0,6.0,6.0,5.0,0.0,0,-9556.0,7407.0,45778.0,471.0,2757.0,14712.0,7587.0,12353.0,0,407.0,13108.0,55182.0,16803.0,12157.0,19891.0,13052.0,20599.0,0,9963.0,5701.0,9404.0,16332.0,9400.0,5179.0,5465.0,8246.0,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
5,Holding,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.0,31.0,15.0,8.0,0,0.0,0.0,0.0,0.0,9.0,31.0,15.0,8.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.6,2.3,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29752,34584.0,31627.0,29855.0,28592.0,27951.0,27855.0,31920.0,35317.0,0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0,-3242.0,-4118.0,-2865.0,-1982.0,-1096.0,-516.0,3076.0,2838.0,0,1182.0,658.0,377.0,298.0,194.0,487.0,3896.0,4259.0,0,4424.0,4776.0,3242.0,2280.0,1290.0,1003.0,820.0,1421.0,45,45.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0
6,Mustafi,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,11.0,20.0,27.0,17.0,26.0,18.0,12.0,15.0,16,11.0,20.0,27.0,17.0,26.0,18.0,12.0,15.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.7,3.8,5.9,11.1,2.5,1.8,2.6,2.6,3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66040,70396.0,64320.0,62683.0,70029.0,71115.0,79261.0,83209.0,81957.0,1,0.0,2.0,8.0,2.0,6.0,5.0,2.0,2.0,0,-5669.0,-8592.0,-3917.0,3049.0,-141.0,5493.0,2580.0,-1946.0,0,1711.0,2074.0,2091.0,7162.0,3420.0,8115.0,5093.0,2194.0,0,7380.0,10666.0,6008.0,4113.0,3561.0,2622.0,2513.0,4140.0,55,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0
7,Kolasinac,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32166,24101.0,19874.0,17901.0,16607.0,16113.0,15953.0,16343.0,16706.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-9293.0,-4863.0,-2366.0,-1492.0,-647.0,-332.0,92.0,-2.0,0,209.0,105.0,62.0,55.0,45.0,149.0,374.0,467.0,0,9502.0,4968.0,2428.0,1547.0,692.0,481.0,282.0,469.0,50,50.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
8,Mavropanos,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10713,10573.0,9312.0,8291.0,7851.0,7652.0,7198.0,6754.0,6362.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1679.0,-1632.0,-1247.0,-762.0,-436.0,-579.0,-480.0,-439.0,0,381.0,199.0,101.0,110.0,70.0,62.0,11.0,14.0,0,2060.0,1831.0,1348.0,872.0,506.0,641.0,491.0,453.0,50,50.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0
9,Lichtsteiner,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112156,117269.0,95453.0,79486.0,69989.0,64924.0,61396.0,58968.0,56477.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,-10116.0,-23933.0,-17753.0,-10917.0,-5896.0,-4111.0,-2829.0,-2932.0,0,4812.0,2151.0,789.0,550.0,424.0,431.0,275.0,422.0,0,14928.0,26084.0,18542.0,11467.0,6320.0,4542.0,3104.0,3354.0,50,50.0,49.0,48.0,48.0,47.0,47.0,47.0,46.0
