,Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Google Place Id,Occupancy
0,18237941,Pind Balluchi,1,Gurgaon,"112/112-A, 1st Floor, ILD Trade Centre, Near Subhash Chowk, Sohna Road, Gurgaon"," ILD Trade Centre Mall, Sohna Road"," ILD Trade Centre Mall, Sohna Road, Gurgaon",77.0392204,28.4249125,"North Indian, Mughlai",800,Indian Rupees(Rs.),Yes,Yes,No,No,2,2.7,Orange,Average,80,ChIJY8P1rf0YDTkRa9p6gtMitgE,72.05270457697642
1,2787,Punjab Grill,1,Gurgaon,"3rd Floor, Ambience Mall, Gurgaon","Ambience Mall, Gurgaon","Ambience Mall, Gurgaon, Gurgaon",77.09711779999999,28.503076899999996,"North Indian, Mughlai",2000,Indian Rupees(Rs.),Yes,Yes,No,No,4,4.3,Green,Very Good,1887,ChIJD-UYiE4ZDTkRxSzteYNsIk4,59.257592800899886
2,18365849,Behrouz Biryani,1,Gurgaon,"Sector 53, Gurgaon","Central Plaza Mall, Golf Course Road","Central Plaza Mall, Golf Course Road, Gurgaon",77.1006623,28.443406899999996,Biryani,600,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,36,ChIJw637tn0iDTkRsCvQMmJN9To,69.76911976911977
3,227,Domino's Pizza,1,Gurgaon,"G-4/5, Central Plaza Mall, Golf Course Road, Gurgaon","Central Plaza Mall, Golf Course Road","Central Plaza Mall, Golf Course Road, Gurgaon",77.1010066,28.442867100000004,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,104,ChIJMW8zHa8ZDTkRAy3jrYvLqD4,71.15995115995116
4,18425752,Chaayos,1,Gurgaon,"13 & 28, Central Plaza, Golf Course Road, Gurgaon","Central Plaza Mall, Golf Course Road","Central Plaza Mall, Golf Course Road, Gurgaon",77.10078709999999,28.4431891,"Cafe, Tea",400,Indian Rupees(Rs.),No,Yes,No,No,1,4.3,Green,Very Good,48,ChIJ____v-EYDTkRosqIDCcuGKY,66.55688211884177
5,18441709,Downtown Kitchen & Bar - Courtyard by Marriott,1,Gurgaon,"Courtyard by Marriott, Plot 27 B, Sushant Lok 1, Sushant Lok, Gurgaon","Courtyard by Marriott, Sushant Lok","Courtyard by Marriott, Sushant Lok, Gurgaon",77.08036700000001,28.460925,"Chinese, North Indian, Italian",2700,Indian Rupees(Rs.),No,No,No,No,4,3.2,Orange,Average,6,ChIJA79BN6gZBYgRyVMJKxuf4xA,63.36405529953917
6,304832,Di Ghent Boulangerie,1,Gurgaon,"Shop 212/214, Level 2, Cross Point Mall, DLF Phase 4, Gurgaon","Cross Point Mall, DLF Phase 4","Cross Point Mall, DLF Phase 4, Gurgaon",77.0835375,28.46836827,"Cafe, Belgian",1700,Indian Rupees(Rs.),No,No,No,No,3,3.9,Yellow,Good,231,ChIJa5bce94YDTkRGM1q2A3zsUU,54.98556140648887
7,303858,The Pint Room,1,Gurgaon,"1st Floor, Cross Point Mall, DLF Phase 4, Gurgaon","Cross Point Mall, DLF Phase 4","Cross Point Mall, DLF Phase 4, Gurgaon",77.08302259999999,28.4683973,"Finger Food, Continental, Italian",1700,Indian Rupees(Rs.),Yes,No,No,No,3,3.7,Yellow,Good,127,ChIJwVKNm84dDTkRKzzevBTblgM,73.84151357279956
8,18233573,Big Wong XL,1,Gurgaon,"116, 117, & 130, 1st Floor, Cross Point Mall, DLF Phase 4, Gurgaon","Cross Point Mall, DLF Phase 4","Cross Point Mall, DLF Phase 4, Gurgaon",77.0834723,28.4681716,"Chinese, Thai, Sushi",1500,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.0,Green,Very Good,162,ChIJyepL3OAYDTkRoWcD-ywGRBg,59.76408912188729
9,18254537,Nowhere Terrace Brewpub Cafe,1,Gurgaon,"2nd Floor, Cross Point Mall, Galleria Market DLF Phase 4, Gurgaon","Cross Point Mall, DLF Phase 4","Cross Point Mall, DLF Phase 4, Gurgaon",77.083048,28.468314000000003,"Continental, European, Asian, North Indian, Chinese, Italian",1600,Indian Rupees(Rs.),Yes,No,No,No,3,4.1,Green,Very Good,214,ChIJS8pCkt4YDTkRSYwNWZH8gSg,55.588762701733415
